Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid,design_1_i/xfft_0_m_axis_data_tdata[63:0],design_1_i/xfft_0_m_axis_data_tlast,design_1_i/xfft_0_m_axis_data_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
139,139,0,8677,0,1,1f9b,001c,16283,8677,1,fffffba5ffffff57,0,0
140,140,0,8359,0,1,1f1b,001c,7963,8359,1,fffffba5ffffff57,0,0
141,141,0,7972,0,1,1f3d,001c,7997,7972,1,fffffba5ffffff57,0,0
142,142,0,7701,0,1,1dfc,001c,7676,7701,1,fffffba5ffffff57,0,0
143,143,0,7527,0,1,1cf8,001c,7416,7527,1,fffffba5ffffff57,0,0
144,144,0,7418,0,1,1dfd,001c,7677,7418,1,fffffba5ffffff57,0,0
145,145,0,7412,0,1,1fbd,001c,8125,7412,1,fffffba5ffffff57,0,0
146,146,0,7526,0,1,1fdd,001c,8157,7526,1,fffffba5ffffff57,0,0
147,147,0,7792,0,1,1fd4,001c,8148,7792,1,fffffba5ffffff57,0,0
148,148,0,8129,0,1,2110,001c,8464,8129,1,fffffba5ffffff57,0,0
149,149,0,8422,0,1,2242,001c,8770,8422,1,fffffba5ffffff57,0,0
150,150,0,8714,0,1,2307,001c,8967,8714,1,fffffba5ffffff57,0,0
151,151,0,8937,0,1,232e,001c,9006,8937,1,fffffba5ffffff57,0,0
152,152,0,8989,0,1,22e8,001c,8936,8989,1,fffffba5ffffff57,0,0
153,153,0,8964,0,1,223d,001c,8765,8964,1,fffffba5ffffff57,0,0
154,154,0,8773,0,1,211b,001c,8475,8773,1,fffffba5ffffff57,0,0
155,155,0,8469,0,1,1fe4,001c,8164,8469,1,fffffba5ffffff57,0,0
156,156,0,8211,0,1,1ea6,001c,7846,8211,1,fffffba5ffffff57,0,0
157,157,0,7882,0,1,1d9e,001c,7582,7882,1,fffffba5ffffff57,0,0
158,158,0,7599,0,1,1d23,001c,7459,7599,1,fffffba5ffffff57,0,0
159,159,0,7475,0,1,1cdc,001c,7388,7475,1,fffffba5ffffff57,0,0
160,160,0,7378,0,1,1d2c,001c,7468,7378,1,fffffba5ffffff57,0,0
161,161,0,7433,0,1,1e05,001c,7685,7433,1,fffffba5ffffff57,0,0
162,162,0,7668,0,1,1f1e,001c,7966,7668,1,fffffba5ffffff57,0,0
163,163,0,7951,0,1,2072,001c,8306,7951,1,fffffba5ffffff57,0,0
164,164,0,8262,0,1,21b6,001c,8630,8262,1,fffffba5ffffff57,0,0
165,165,0,8566,0,1,2292,001c,8850,8566,1,fffffba5ffffff57,0,0
166,166,0,8838,0,1,2325,001c,8997,8838,1,fffffba5ffffff57,0,0
167,167,0,8996,0,1,233e,001c,9022,8996,1,fffffba5ffffff57,0,0
168,168,0,8996,0,1,22ba,001c,8890,8996,1,fffffba5ffffff57,0,0
169,169,0,8976,0,1,2190,001c,8592,8976,1,fffffba5ffffff57,0,0
170,170,0,8862,0,1,209e,001c,8350,8862,1,fffffba5ffffff57,0,0
171,171,0,8666,0,1,1f67,001c,8039,8666,1,fffffba5ffffff57,0,0
172,172,0,8416,0,1,1e13,001c,7699,8416,1,fffffba5ffffff57,0,0
173,173,0,8069,0,1,1d5d,001c,7517,8069,1,fffffba5ffffff57,0,0
174,174,0,7764,0,1,1ce5,001c,7405,7764,1,fffffba5ffffff57,0,0
175,175,0,7511,0,1,1ce3,001c,7399,7511,1,fffffba5ffffff57,0,0
176,176,0,7396,0,1,1daf,001c,7663,7396,1,fffffba5ffffff57,0,0
177,177,0,7390,0,1,1f9d,001c,8093,7390,1,fffffba5ffffff57,0,0
178,178,0,7524,0,1,1f9d,001c,8093,7524,1,fffffba5ffffff57,0,0
179,179,0,7783,0,1,3f8f,001c,16271,7783,1,fffffba5ffffff57,0,0
180,180,0,8059,0,1,233f,001c,9023,8059,1,fffffba5ffffff57,0,0
181,181,0,8420,0,1,22ff,001c,8959,8420,1,fffffba5ffffff57,0,0
182,182,0,8705,0,1,23fe,001c,8958,8705,1,fffffba5ffffff57,0,0
183,183,0,8903,0,1,2345,001c,9029,8903,1,fffffba5ffffff57,0,0
184,184,0,9027,0,1,22f4,001c,8948,9027,1,fffffba5ffffff57,0,0
185,185,0,9031,0,1,2247,001c,8775,9031,1,fffffba5ffffff57,0,0
186,186,0,8964,0,1,2164,001c,8548,8964,1,fffffba5ffffff57,0,0
187,187,0,8797,0,1,201f,001c,8223,8797,1,fffffba5ffffff57,0,0
188,188,0,8526,0,1,1ed2,001c,7890,8526,1,fffffba5ffffff57,0,0
189,189,0,8224,0,1,1dbd,001c,7613,8224,1,fffffba5ffffff57,0,0
190,190,0,7928,0,1,1cf8,001c,7416,7928,1,fffffba5ffffff57,0,0
191,191,0,7649,0,1,1cd5,001c,7381,7649,1,fffffba5ffffff57,0,0
192,192,0,7443,0,1,1d45,001c,7493,7443,1,fffffba5ffffff57,0,0
193,193,0,7356,0,1,1df4,001c,7668,7356,1,fffffba5ffffff57,0,0
194,194,0,7461,0,1,1f0f,001c,7951,7461,1,fffffba5ffffff57,0,0
195,195,0,7641,0,1,2057,001c,8279,7641,1,fffffba5ffffff57,0,0
196,196,0,7901,0,1,2161,001c,8545,7901,1,fffffba5ffffff57,0,0
197,197,0,8207,0,1,2280,001c,8832,8207,1,fffffba5ffffff57,0,0
198,198,0,8534,0,1,22cc,001c,8908,8534,1,fffffba5ffffff57,0,0
199,199,0,8835,0,1,2311,001c,8977,8835,1,fffffba5ffffff57,0,0
200,200,0,8981,0,1,22d5,001c,8917,8981,1,fffffba5ffffff57,0,0
201,201,0,9035,0,1,2212,001c,8722,9035,1,fffffba5ffffff57,0,0
202,202,0,8877,0,1,20e3,001c,8419,8877,1,fffffba5ffffff57,0,0
203,203,0,8672,0,1,1f78,001c,8056,8672,1,fffffba5ffffff57,0,0
204,204,0,8425,0,1,1e56,001c,7766,8425,1,fffffba5ffffff57,0,0
205,205,0,8117,0,1,1d59,001c,7513,8117,1,fffffba5ffffff57,0,0
206,206,0,7823,0,1,1d11,001c,7441,7823,1,fffffba5ffffff57,0,0
207,207,0,7548,0,1,1cdd,001c,7389,7548,1,fffffba5ffffff57,0,0
208,208,0,7362,0,1,1d66,001c,7526,7362,1,fffffba5ffffff57,0,0
209,209,0,7414,0,1,1e5c,001c,7804,7414,1,fffffba5ffffff57,0,0
210,210,0,7554,0,1,1f8f,001c,8079,7554,1,fffffba5ffffff57,0,0
211,211,0,7730,0,1,2fef,001c,16367,7730,1,fffffba5ffffff57,0,0
212,212,0,8021,0,1,22ef,001c,8943,8021,1,fffffba5ffffff57,0,0
213,213,0,8405,0,1,22d7,001c,8919,8405,1,fffffba5ffffff57,0,0
214,214,0,8668,0,1,23f1,001c,9201,8668,1,fffffba5ffffff57,0,0
215,215,0,8865,0,1,23ff,001c,9215,8865,1,fffffba5ffffff57,0,0
216,216,0,8966,0,1,22ff,001c,8959,8966,1,fffffba5ffffff57,0,0
217,217,0,8986,0,1,236f,001c,9070,8986,1,fffffba5ffffff57,0,0
218,218,0,8832,0,1,2147,001c,8519,8832,1,fffffba5ffffff57,0,0
219,219,0,8550,0,1,202f,001c,8239,8550,1,fffffba5ffffff57,0,0
220,220,0,8297,0,1,1f11,001c,7953,8297,1,fffffba5ffffff57,0,0
221,221,0,7943,0,1,1dbb,001c,7611,7943,1,fffffba5ffffff57,0,0
222,222,0,7633,0,1,1cee,001c,7406,7633,1,fffffba5ffffff57,0,0
223,223,0,7469,0,1,1ceb,001c,7403,7469,1,fffffba5ffffff57,0,0
224,224,0,7398,0,1,1d1c,001c,7452,7398,1,fffffba5ffffff57,0,0
225,225,0,7419,0,1,1dce,001c,7630,7419,1,fffffba5ffffff57,0,0
226,226,0,7585,0,1,1ef4,001c,7924,7585,1,fffffba5ffffff57,0,0
227,227,0,7879,0,1,202b,001c,8235,7879,1,fffffba5ffffff57,0,0
228,228,0,8224,0,1,2157,001c,8535,8224,1,fffffba5ffffff57,0,0
229,229,0,8527,0,1,2247,001c,8775,8527,1,fffffba5ffffff57,0,0
230,230,0,8771,0,1,22f4,001c,8948,8771,1,fffffba5ffffff57,0,0
231,231,0,8941,0,1,234e,001c,9038,8941,1,fffffba5ffffff57,0,0
232,232,0,8988,0,1,22cc,001c,8908,8988,1,fffffba5ffffff57,0,0
233,233,0,8938,0,1,21be,001c,8638,8938,1,fffffba5ffffff57,0,0
234,234,0,8753,0,1,20c7,001c,8391,8753,1,fffffba5ffffff57,0,0
235,235,0,8430,0,1,1f95,001c,8085,8430,1,fffffba5ffffff57,0,0
236,236,0,8125,0,1,1e81,001c,7809,8125,1,fffffba5ffffff57,0,0
237,237,0,7796,0,1,1d6c,001c,7532,7796,1,fffffba5ffffff57,0,0
238,238,0,7567,0,1,1cbc,001c,7356,7567,1,fffffba5ffffff57,0,0
239,239,0,7429,0,1,1ce1,001c,7393,7429,1,fffffba5ffffff57,0,0
240,240,0,7383,0,1,1d74,001c,7540,7383,1,fffffba5ffffff57,0,0
241,241,0,7454,0,1,1e58,001c,7768,7454,1,fffffba5ffffff57,0,0
242,242,0,7715,0,1,1f5c,001c,8028,7715,1,fffffba5ffffff57,0,0
243,243,0,8031,0,1,2090,001c,8336,8031,1,fffffba5ffffff57,0,0
244,244,0,8366,0,1,21d4,001c,8660,8366,1,fffffba5ffffff57,0,0
245,245,0,8649,0,1,22b8,001c,8888,8649,1,fffffba5ffffff57,0,0
246,246,0,8829,0,1,236b,001c,9211,8829,1,fffffba5ffffff57,0,0
247,247,0,8972,0,1,2323,001c,9059,8972,1,fffffba5ffffff57,0,0
248,248,0,9027,0,1,237b,001c,9083,9027,1,fffffba5ffffff57,0,0
249,249,0,8878,0,1,237f,001c,9087,8878,1,fffffba5ffffff57,0,0
250,250,0,8592,0,1,216f,001c,8559,8592,1,fffffba5ffffff57,0,0
251,251,0,8282,0,1,2f67,001c,12135,8282,1,fffffba5ffffff57,0,0
252,252,0,7975,0,1,1f25,001c,7973,7975,1,fffffba5ffffff57,0,0
253,253,0,7738,0,1,1f18,001c,7704,7738,1,fffffba5ffffff57,0,0
254,254,0,7503,0,1,1d33,001c,7475,7503,1,fffffba5ffffff57,0,0
255,255,0,7366,0,1,1ca8,001c,7336,7366,1,fffffba5ffffff57,0,0
256,256,0,7388,0,1,1d1d,001c,7453,7388,1,fffffba5ffffff57,0,0
257,257,0,7581,0,1,1dce,001c,7630,7581,1,fffffba5ffffff57,0,0
258,258,0,7846,0,1,1ec3,001c,7875,7846,1,fffffba5ffffff57,0,0
259,259,0,8171,0,1,1ffb,001c,8187,8171,1,fffffba5ffffff57,0,0
260,260,0,8485,0,1,2131,001c,8497,8485,1,fffffba5ffffff57,0,0
261,261,0,8727,0,1,227a,001c,8826,8727,1,fffffba5ffffff57,0,0
262,262,0,8955,0,1,22fd,001c,8957,8955,1,fffffba5ffffff57,0,0
263,263,0,9018,0,1,2304,001c,8964,9018,1,fffffba5ffffff57,0,0
264,264,0,8925,0,1,22cb,001c,8907,8925,1,fffffba5ffffff57,0,0
265,265,0,8744,0,1,2212,001c,8722,8744,1,fffffba5ffffff57,0,0
266,266,0,8485,0,1,20f7,001c,8439,8485,1,fffffba5ffffff57,0,0
267,267,0,8167,0,1,1fd4,001c,8148,8167,1,fffffba5ffffff57,0,0
268,268,0,7840,0,1,1e6e,001c,7790,7840,1,fffffba5ffffff57,0,0
269,269,0,7565,0,1,1d7f,001c,7551,7565,1,fffffba5ffffff57,0,0
270,270,0,7414,0,1,1d08,001c,7432,7414,1,fffffba5ffffff57,0,0
271,271,0,7396,0,1,1cc6,001c,7366,7396,1,fffffba5ffffff57,0,0
272,272,0,7478,0,1,1d48,001c,7496,7478,1,fffffba5ffffff57,0,0
273,273,0,7686,0,1,1e5b,001c,7771,7686,1,fffffba5ffffff57,0,0
274,274,0,7980,0,1,1f6a,001c,8042,7980,1,fffffba5ffffff57,0,0
275,275,0,8318,0,1,2094,001c,8340,8318,1,fffffba5ffffff57,0,0
276,276,0,8592,0,1,21b8,001c,8632,8592,1,fffffba5ffffff57,0,0
277,277,0,8860,0,1,22b1,001c,8881,8860,1,fffffba5ffffff57,0,0
278,278,0,9015,0,1,2341,001c,9025,9015,1,fffffba5ffffff57,0,0
279,279,0,8958,0,1,2314,001c,8980,8958,1,fffffba5ffffff57,0,0
280,280,0,8852,0,1,229d,001c,8861,8852,1,fffffba5ffffff57,0,0
281,281,0,8639,0,1,2190,001c,8600,8639,1,fffffba5ffffff57,0,0
282,282,0,8332,0,1,2077,001c,8695,8332,1,fffffba5ffffff57,0,0
283,283,0,8003,0,1,1f37,001c,16247,8003,1,fffffba5ffffff57,0,0
284,284,0,7700,0,1,1f37,001c,7991,7700,1,fffffba5ffffff57,0,0
285,285,0,7536,0,1,1f57,001c,8023,7536,1,fffffba5ffffff57,0,0
286,286,0,7418,0,1,1ddd,001c,7645,7418,1,fffffba5ffffff57,0,0
287,287,0,7375,0,1,1cff,001c,7423,7375,1,fffffba5ffffff57,0,0
288,288,0,7565,0,1,1dff,001c,7679,7565,1,fffffba5ffffff57,0,0
289,289,0,7565,0,1,1fbe,001c,7614,7565,1,fffffba5ffffff57,0,0
290,290,0,7813,0,1,1ffc,001c,7868,7813,1,fffffba5ffffff57,0,0
