Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid,design_1_i/xfft_0_m_axis_data_tdata[63:0],design_1_i/xfft_0_m_axis_data_tlast,design_1_i/xfft_0_m_axis_data_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
136,136,0,-13313408,0,1,00af,001c,175,6784,1,b3adaa8da48bcea5,0,0
137,137,0,-17147700,0,1,0f6c,001c,3948,6348,1,b3adaa8da48bcea5,0,0
138,138,0,-21187376,0,1,1ce7,001c,7399,13520,1,b3adaa8da48bcea5,0,0
139,139,0,-21244547,0,1,255b,001c,9563,5501,1,b3adaa8da48bcea5,0,0
140,140,0,-21592794,0,1,32ce,001c,13006,1318,1,b3adaa8da48bcea5,0,0
141,141,0,-20773644,0,1,3646,001c,13894,1268,1,b3adaa8da48bcea5,0,0
142,142,0,-19921728,0,1,3f56,001c,16214,1216,1,b3adaa8da48bcea5,0,0
143,143,0,-18935966,0,1,3fff,001c,16383,3938,1,b3adaa8da48bcea5,0,0
144,144,0,-18056738,0,1,3fff,001c,16383,14814,1,b3adaa8da48bcea5,0,0
145,145,0,-14747265,0,1,3fff,001c,16383,14719,1,b3adaa8da48bcea5,0,0
146,146,0,-13189032,0,1,3d2f,001c,15663,88,1,b3adaa8da48bcea5,0,0
147,147,0,-9183537,0,1,3b25,001c,15141,7887,1,b3adaa8da48bcea5,0,0
148,148,0,-6874803,0,1,2e86,001c,11910,6477,1,b3adaa8da48bcea5,0,0
149,149,0,-3564810,0,1,282b,001c,10283,6902,1,b3adaa8da48bcea5,0,0
150,150,0,-197776,0,1,1b87,001c,7047,15216,1,b3adaa8da48bcea5,0,0
151,151,0,0,0,1,0442,001c,1090,0,1,b3adaa8da48bcea5,0,0
152,152,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
153,153,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
154,154,0,-78892,0,1,0000,001c,0,3028,1,b3adaa8da48bcea5,0,0
155,155,0,-1640436,0,1,0000,001c,0,14348,1,b3adaa8da48bcea5,0,0
156,156,0,-2519990,0,1,04ac,001c,1196,3146,1,b3adaa8da48bcea5,0,0
157,157,0,-2557593,0,1,1b15,001c,6933,14695,1,b3adaa8da48bcea5,0,0
158,158,0,-2486438,0,1,2806,001c,10246,3930,1,b3adaa8da48bcea5,0,0
159,159,0,-1586310,0,1,2edd,001c,11997,2938,1,b3adaa8da48bcea5,0,0
160,160,0,-585144,0,1,3b4a,001c,15178,4680,1,b3adaa8da48bcea5,0,0
161,161,0,737235,0,1,3d8a,001c,15754,16339,1,b3adaa8da48bcea5,0,0
162,162,0,2064258,0,1,3fff,001c,16383,16258,1,b3adaa8da48bcea5,0,0
163,163,0,3440430,0,1,3fff,001c,16383,16174,1,b3adaa8da48bcea5,0,0
164,164,0,4614980,0,1,3fff,001c,16383,11076,1,b3adaa8da48bcea5,0,0
165,165,0,5764762,0,1,3ffd,001c,16255,13978,1,b3adaa8da48bcea5,0,0
166,166,0,5609450,0,1,3f5f,001c,16223,6122,1,b3adaa8da48bcea5,0,0
167,167,0,5738880,0,1,36d7,001c,14039,4480,1,b3adaa8da48bcea5,0,0
168,168,0,4523576,0,1,32f2,001c,14066,1592,1,b3adaa8da48bcea5,0,0
169,169,0,793425,0,1,24f2,001c,9458,6993,1,b3adaa8da48bcea5,0,0
170,170,0,0,0,1,1d24,001c,8036,0,1,b3adaa8da48bcea5,0,0
171,171,0,0,0,1,0f64,001c,3940,0,1,b3adaa8da48bcea5,0,0
172,172,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
173,173,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
174,174,0,1505448,0,1,0000,001c,0,14504,1,b3adaa8da48bcea5,0,0
175,175,0,9312745,0,1,0000,001c,0,6633,1,b3adaa8da48bcea5,0,0
176,176,0,14828268,0,1,01a3,001c,419,748,1,b3adaa8da48bcea5,0,0
177,177,0,18665100,0,1,115c,001c,4444,3724,1,b3adaa8da48bcea5,0,0
178,178,0,25180046,0,1,1e78,001c,7800,14222,1,b3adaa8da48bcea5,0,0
179,179,0,27853072,0,1,2686,001c,9862,272,1,b3adaa8da48bcea5,0,0
180,180,0,30783657,0,1,33dd,001c,13277,14505,1,b3adaa8da48bcea5,0,0
181,181,0,32634936,0,1,377d,001c,14205,14392,1,b3adaa8da48bcea5,0,0
182,182,0,34518981,0,1,3fff,001c,16383,14277,1,b3adaa8da48bcea5,0,0
183,183,0,35890335,0,1,3fff,001c,16383,9375,1,b3adaa8da48bcea5,0,0
184,184,0,32202500,0,1,3fff,001c,16383,7940,1,b3adaa8da48bcea5,0,0
185,185,0,31904404,0,1,3fff,001c,16383,4756,1,b3adaa8da48bcea5,0,0
186,186,0,24497172,0,1,3c8f,001c,15503,3092,1,b3adaa8da48bcea5,0,0
187,187,0,20238174,0,1,3a14,001c,14868,3934,1,b3adaa8da48bcea5,0,0
188,188,0,10971910,0,1,2d9c,001c,11676,11014,1,b3adaa8da48bcea5,0,0
189,189,0,0,0,1,22a8,001c,8872,0,1,b3adaa8da48bcea5,0,0
190,190,0,0,0,1,197f,001c,6527,0,1,b3adaa8da48bcea5,0,0
191,191,0,0,0,1,0a51,001c,2641,0,1,b3adaa8da48bcea5,0,0
192,192,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
193,193,0,1644556,0,1,0000,001c,0,6156,1,b3adaa8da48bcea5,0,0
194,194,0,1698110,0,1,0000,001c,0,10558,1,b3adaa8da48bcea5,0,0
195,195,0,16428118,0,1,0000,001c,0,11350,1,b3adaa8da48bcea5,0,0
196,196,0,30139798,0,1,06ab,001c,1707,9622,1,b3adaa8da48bcea5,0,0
197,197,0,39887435,0,1,14a6,001c,5286,8779,1,b3adaa8da48bcea5,0,0
198,198,0,55405224,0,1,2d82,001c,10626,10920,1,b3adaa8da48bcea5,0,0
199,199,0,60671870,0,1,398a,001c,12298,1918,1,b3adaa8da48bcea5,0,0
200,200,0,72822900,0,1,341f,001c,13343,12404,1,b3adaa8da48bcea5,0,0
201,201,0,75361800,0,1,3e3d,001c,15933,11784,1,b3adaa8da48bcea5,0,0
202,202,0,77770101,0,1,3fff,001c,16383,11637,1,b3adaa8da48bcea5,0,0
203,203,0,80211168,0,1,3fff,001c,16383,11488,1,b3adaa8da48bcea5,0,0
204,204,0,78142701,0,1,3fff,001c,16383,7405,1,b3adaa8da48bcea5,0,0
205,205,0,77340324,0,1,3fff,001c,16383,7844,1,b3adaa8da48bcea5,0,0
206,206,0,62222352,0,1,3e8d,001c,16013,12304,1,b3adaa8da48bcea5,0,0
207,207,0,48852597,0,1,352e,001c,13742,11893,1,b3adaa8da48bcea5,0,0
208,208,0,37036896,0,1,319e,001c,12702,9056,1,b3adaa8da48bcea5,0,0
209,209,0,15236174,0,1,2bb7,001c,11191,15438,1,b3adaa8da48bcea5,0,0
210,210,0,0,0,1,17b6,001c,6070,0,1,b3adaa8da48bcea5,0,0
211,211,0,0,0,1,0d4a,001c,3402,0,1,b3adaa8da48bcea5,0,0
212,212,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
213,213,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
214,214,0,68381392,0,1,0000,001c,0,10960,1,b3adaa8da48bcea5,0,0
215,215,0,11813337,0,1,0000,001c,0,473,1,b3adaa8da48bcea5,0,0
216,216,0,36810258,0,1,0310,001c,784,11794,1,b3adaa8da48bcea5,0,0
217,217,0,75998286,0,1,12c9,001c,4809,9294,1,b3adaa8da48bcea5,0,0
218,218,0,90156515,0,1,1ff5,001c,8181,11747,1,b3adaa8da48bcea5,0,0
